"X0"	"X0.1"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"
"IMAGE:455128"	-0.578105	-0.606999	-0.481477	-0.64252	-0.31152	0.114263	0.923613	1.201786	1.364052	1.030587	0.247816	-0.163971	-0.605293	-0.59455	-0.810352	-0.589917	-0.607139	-0.397756	-0.227096	0.135735	0.701915	1.009544	0.575183	0.79299	0.519042	0.162078	-0.225131	-0.486621	-0.303621	-0.336131	-0.381542	-0.191477	0.027761	0.291613	0.583067	0.551974	0.56262	0.344881	0.28591	-0.023548	0.043246	-0.174881	-0.108679	-0.45988	-0.5182	-0.368203	-0.529001	-0.114695
"IMAGE:66406"	-0.124777	0.036432	-0.071369	0.170958	0.211723	0.818788	1.008393	1.225675	1.0364	0.546614	-0.064195	-0.50297	-0.770365	-0.82708	-0.733979	-0.368608	-0.174018	-0.067995	0.454479	0.511784	0.816092	0.793075	0.756837	0.447399	0.15913	-0.329855	-0.832421	-0.618523	-0.592439	-0.414888	-0.232504	-0.056842	0.099307	0.221216	0.554281	0.13712	0.278729	0.015407	-0.009586	-0.208041	-0.368167	-0.350916	-0.617053	-0.495507	-0.518448	-0.267639	-0.075046	-0.09781
"IMAGE:725454"	-0.526361	-0.471196	-0.552884	-0.250651	-0.371366	0.015406	0.07955	0.63979	0.879731	0.688031	0.567833	0.374143	0.105256	-0.454669	-1.065319	-1.173812	-1.144345	-0.75404	-0.603793	-0.227922	0.19314	0.563884	0.481896	0.611007	0.677349	0.571595	0.158742	-0.065115	-0.519929	-0.556553	-0.696363	-0.078183	-0.171799	0.389337	0.302137	0.660614	0.55527	0.669611	0.317874	0.571928	0.689755	0.166694	-0.166505	-0.34738	-0.263774	-0.327929	-0.332465	0.030837
"IMAGE:232837"	-0.460248	-0.480264	-0.390695	-0.33674	-0.451115	-0.054681	0.312082	0.515797	0.639687	0.88195	0.667727	0.70356	0.244442	0.025557	-0.554896	-0.780992	-0.945457	-0.526174	-0.37804	-0.089438	-0.042212	0.579832	0.487189	0.973536	0.82397	0.613487	-0.123454	-0.421795	-0.416394	-0.52335	-0.579631	-0.215591	-0.084332	0.103456	0.374771	0.424813	0.348374	0.36656	0.361389	0.26126	0.335199	0.072922	-0.336731	-0.243074	-0.475803	-0.525798	-0.416844	-0.13603
"IMAGE:781047"	-0.322412	-0.339981	-0.409773	-0.401591	-0.284203	0.055059	0.11545	0.518113	0.624255	0.843622	0.816442	0.483873	0.365352	0.073223	-0.357943	-0.615047	-0.49232	-0.467048	-0.358336	0.05542	-0.064307	0.251293	0.521437	0.729261	0.584579	0.657026	0.041249	-0.21097	-0.39428	-0.469276	-0.894951	-0.293304	-0.187271	-0.202384	0.278789	0.199575	0.375355	0.309147	0.16244	0.24957	0.218126	0.097649	-0.184576	-0.242909	-0.362497	-0.219621	-0.429656	-0.220933
"IMAGE:301388"	-0.258457	-0.159441	-0.14012	-0.15787	-0.074728	0.19656	0.434092	0.662419	0.923412	0.717023	0.129399	-0.308224	-0.530173	-0.966163	-0.786324	-0.841017	-0.708969	-0.45907	-0.161793	0.182169	0.111577	0.724403	0.375654	0.60919	0.476668	0.061603	-0.176398	-0.415183	-0.288297	-0.543636	-0.423953	-0.149356	0.123781	0.383521	0.596289	0.415443	0.427923	0.454471	0.396122	0.312282	0.144358	-0.004628	-0.161446	-0.194195	-0.325986	-0.178122	-0.166962	-0.396713
"IMAGE:359119"	-0.381143	-0.517824	-0.53759	-0.148014	-0.455824	0.112041	-0.05538	0.411323	0.744573	0.821099	0.490509	0.370146	0.170896	-0.274337	-0.554407	-1.208083	-1.011014	-0.772012	-0.507876	-0.36693	0.001501	0.33925	0.344474	0.678169	0.673587	0.55793	0.143911	0.005161	-0.56942	-0.508871	-0.510404	-0.138378	-0.209106	0.344337	0.241027	0.584169	0.402574	0.584108	0.345165	0.386375	0.603713	0.154591	-0.020724	-0.196319	-0.256494	-0.276325	-0.247885	-0.11878
"IMAGE:51532"	-0.124606	-0.218347	-0.298739	-0.251568	0.000647	0.322348	0.450723	0.72776	1.112126	1.03038	0.90682	0.701975	0.496079	0.028737	-0.314369	-0.517313	-0.912891	-0.943212	-0.688472	-0.532298	-0.244295	0.30244	0.348027	0.78406	0.701046	0.421183	-0.116056	-0.095111	-0.417068	-0.765313	-0.631997	-0.59301	-0.429395	-0.104686	0.027279	0.091959	0.3365	0.224339	0.293841	0.455257	0.057394	0.388683	0.055479	-0.126132	-0.359704	-0.402353	-0.357237	-0.488504
"IMAGE:126650"	0.590076	0.36927	0.233562	0.472711	-0.026339	-0.285964	-0.496698	-0.959437	-0.749605	-1.173242	-0.774237	-0.597184	-0.378532	0.148635	0.497335	0.508497	1.177524	0.647338	0.803454	0.240155	-0.183177	-0.210069	-0.646933	-0.677214	-0.50339	-0.653807	-0.459443	-0.033428	0.540368	0.518213	0.350183	0.412214	0.543987	0.419382	-0.221629	-0.172	-0.350451	-0.599513	-0.633004	-0.28847	-0.214578	0.185912	0.324233	0.249878	0.327464	0.365392	0.423848	0.143023
"IMAGE:209066"	-0.644206	-0.748864	-0.760687	-0.563785	-0.344766	0.384666	0.62412	1.112351	1.276975	1.275006	0.914641	0.810629	0.004973	-0.674646	-1.157624	-1.369682	-1.357456	-1.021127	-0.65114	-0.082977	0.015173	0.666014	0.580718	1.056368	0.78099	0.637099	0.003785	-0.542781	-0.680429	-0.92142	-0.776165	-0.425889	-0.041998	0.381339	0.620879	0.526379	0.635382	0.725324	0.437585	0.577036	0.54209	0.001012	-0.047023	-0.227222	-0.483588	-0.467056	-0.41891	-0.046057
"IMAGE:810600"	-0.754143	-0.7392	-0.737104	-0.513312	-0.250132	-0.10911	0.083847	0.515782	0.597072	0.769966	0.814449	0.56597	0.588074	0.06882	-0.214793	-0.495392	-0.497898	-0.504482	-0.409654	-0.456098	0.004273	0.07314	0.313977	0.503599	0.436171	0.732888	0.556361	0.302372	-0.269469	-0.315136	-0.591089	-0.324617	-0.341324	0.003885	0.30075	0.39767	0.357239	0.226938	0.41587	0.338402	0.231579	-0.003284	-0.160341	-0.141515	-0.212299	-0.505785	-0.096472	-0.226531
