"X0"	"X0.1"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"
"IMAGE:141767"	0.18677	0.146397	0.508828	0.749517	0.309629	0.322867	0.034355	0.145824	0.028163	-0.104575	0.161435	0.222308	0.149017	0.20568	0.191288	0.080962	0.464897	0.177277	0.191018	0.078644	-0.964699	0.040096	0.317831	-0.003623	0.102728	0.271544	0.222823	0.038796	-0.038788	-0.211478	-0.189414	-0.192475	-0.005029	-0.621834	-0.529815	-0.338061	-0.162153	-0.366024	-0.085036	0.025887	-0.05391	-0.173881	-0.450518	-0.168804	-0.308982	-0.139833	0.044264	-0.275089
"IMAGE:854756"	-0.305191	-0.109214	0.27384	0.201177	0.099146	0.02094	0.106954	0.031987	0.225941	-0.151716	0.029309	-0.025285	-0.465021	0.177981	0.08334	-0.008843	0.654376	0.158576	-0.348355	0.098797	0.124959	0.146379	0.217062	0.154338	0.369945	-0.183362	0.121892	-0.299511	-0.368233	-0.714725	0.117006	0.02325	-0.556239	-0.275448	-0.043892	0.119378	-0.432571	0.053751	-0.381856	0.425624	0.10014	-0.002326	-0.274863	-0.241874	0.392819	0.35876	0.308865	0.631242
"YLR082C"	0.495596	-0.048869	-0.208229	0.288496	-0.089139	-1.568432	-0.392687	0.398808	-0.641702	1.060247	-0.364162	0.206841	0.476881	-0.019678	0.189452	-0.48247	0.853603	0.018708	0.208923	-0.08461	1.302934	0.163379	0.00351	0.179719	0.456877	-0.13944	-1.27607	0.835722	-0.742169	0.538233	-0.160825	-0.737889	-0.011648	0.31035	-0.338217	0.28735	-0.390841	-0.471888	0.055466	-0.212123	0.083698	-0.155303	0.733418	-0.55968	0.334912	-0.110785	0.373096	-0.993999
"IMAGE:745540"	-0.471056	0.429758	-0.166579	0.647314	-0.624376	0.008392	-0.060187	-0.037861	-0.130444	-0.121977	0.170383	-0.319924	0.415106	-0.29837	0.080289	-0.409151	0.170583	-0.27515	0.445092	0.200554	0.339176	0.065994	-0.505075	0.132612	0.452064	0.185539	-0.536778	0.002237	-0.117715	0.233133	-0.258928	0.033368	0.399659	0.01421	-0.290612	-0.146834	0.112906	0.08381	0.098465	0.079162	-0.029795	0.11605	0.307483	-1.27663	-0.258893	0.160799	0.233848	0.550109
"IMAGE:323806"	0.197499	0.26802	-0.021492	0.194171	-0.077051	-0.125188	-0.161254	-0.440255	-0.381287	-0.205316	-0.308729	-0.252264	-0.155341	-0.240309	-0.20734	-0.351198	-0.209523	-0.248219	-0.33705	-0.306616	-0.440909	-0.291697	-0.264226	-0.038176	0.033551	0.095837	0.317391	0.032521	0.417338	0.065203	0.048409	0.101319	0.229767	-0.106114	0.023758	0.057664	0.092498	0.11756	0.064361	0.1716	0.607919	0.10382	0.138337	0.205904	0.278306	0.180477	0.097347	0.264502
"IMAGE:1657840"	-0.414077	-0.219302	-0.126722	-0.032513	0.335838	-0.192246	0.104321	0.025675	-0.320924	0.103375	0.133656	0.176843	0.068256	-0.179173	-0.031495	-0.030381	0.151394	-0.377699	0.636133	-0.547701	1.022949	0.319269	0.24766	-0.012337	0.042547	-0.074857	0.187656	0.32267	0.371406	0.117486	-0.374971	-0.013874	0.10344	-0.081734	0.057345	-0.766843	0.17103	-0.092933	0.190938	0.307198	-0.521776	-0.273769	0.241663	-0.029051	-0.170803	-0.192341	0.021802	0.094252
"IMAGE:1034558"	0.186103	0.44344	0.478478	0.059116	0.088639	0.092297	0.121387	-0.525283	-0.330937	-0.255827	-0.16684	0.548949	0.025438	0.175076	0.133233	0.154409	-0.118989	-0.285096	0.292755	0.122231	-0.120188	-0.263179	-0.140579	-0.073895	0.22415	-0.264162	-0.649103	-0.664317	0.562902	-0.370169	0.296616	-0.377583	0.016602	-0.198232	-0.21197	-0.359798	0.070347	0.298089	0.213703	0.071686	0.080275	-0.107788	0.0497	0.361315	0.167599	0.035814	0.104294	-0.114353
"IMAGE:22866"	0.424638	0.090507	0.062662	0.307168	-0.04553	0.182972	-0.472101	-0.168536	-0.013921	-0.01074	-0.111208	0.198599	-0.375046	-0.169725	-0.478495	0.091871	-0.106352	-0.26487	0.248698	-0.165156	-0.659172	-0.242793	-0.56909	0.195008	0.280552	-0.057123	-0.55957	-0.397451	0.05257	0.005652	0.078504	-0.057082	0.110984	0.42245	0.151539	0.07753	0.190094	0.250716	-0.076996	0.23529	0.070633	0.252041	-0.032867	0.211216	0.052839	-0.035763	-0.149322	-0.247188
"IMAGE:843321"	-0.125866	0.001397	-0.165435	-0.121495	0.040389	0.039606	0.262271	0.407486	0.212275	0.448103	0.529332	0.485088	0.533457	0.352726	0.440499	0.308049	0.542381	0.519257	0.367556	0.193792	-0.220053	0.167517	-0.044368	0.036847	0.113959	-0.022752	0.19645	0.447764	0.050571	0.097616	-0.201705	-0.118302	-0.189698	-0.328612	-0.162112	-0.234514	-0.348924	-0.628554	-0.308909	-0.429876	-0.41858	-0.38782	-0.5154	-0.25485	-0.313504	-0.526611	-0.048076	-0.062218
"YOR099W"	-0.340959	0.407169	-0.153482	0.111219	-0.259953	0.178161	-0.277118	-0.16028	0.17697	-0.242614	0.09137	0.046092	0.006612	0.351294	-0.214996	0.682395	0.380286	0.188354	0.292166	0.167521	0.41843	0.205157	0.203785	0.177982	0.532725	-0.74262	0.009607	-0.566495	-0.556786	-0.90868	-0.056635	0.71327	0.12384	-0.645549	-0.157212	0.323791	0.309891	-0.1992	-0.96663	0.080654	0.216874	-0.965872	0.701624	-0.395243	0.239399	0.199718	0.33679	0.441032
"IMAGE:1735025"	0.037494	-0.836315	0.37912	0.115677	0.268411	0.572279	0.103448	0.303651	-0.469323	-0.115818	-0.005077	-0.009225	-0.080329	-0.656366	-0.588959	0.007705	-0.235238	-0.420151	-0.174892	-0.363547	-0.083928	-0.500097	-0.214471	-0.067815	0.212634	0.830169	0.301386	-0.000722	-0.490849	0.125565	0.272748	0.024306	-0.160251	0.056353	0.291498	-0.333849	0.259019	0.266113	-0.070423	0.330571	-0.065259	0.340742	0.257522	0.364112	-0.106606	0.20114	-0.249209	-0.261408
"IMAGE:433571"	-0.316676	0.178573	-0.250002	0.123852	0.277199	-1.703245	0.526842	0.214019	0.268993	-0.019589	0.243367	-0.025892	0.297874	-0.074115	-0.20375	-0.020801	0.027581	-0.132694	-0.512158	-0.008896	0.218147	-0.2336	0.239993	0.182703	-0.028402	0.304684	0.333024	0.284185	-0.119311	0.131832	-0.224551	0.078815	-0.129867	0.611958	-0.28316	0.10532	-0.32012	0.373105	0.03219	0.430641	0.206409	-0.007759	-0.394931	0.172785	-0.346142	0.024963	-0.156615	0.113494
"IMAGE:739578"	-0.081127	-0.04242	0.109202	0.036046	0.191835	0.357733	0.34074	0.497045	0.331693	0.473788	0.621578	0.518515	0.575144	0.29652	0.126052	0.047488	0.524967	0.117889	0.466553	0.259034	0.194273	0.024921	0.283832	-0.190804	-0.018898	-0.220734	-0.033786	-0.153137	-0.243577	-0.288183	-0.337597	-0.56921	-0.207131	-0.373832	-0.157559	-0.183414	-0.126583	-0.277223	-0.323525	-0.276203	-0.258662	-0.306556	-0.204673	-0.260786	-0.198658	-0.328138	-0.040283	-0.12014
"IMAGE:1650597"	0.056405	0.111139	-0.079698	0.176099	0.012845	0.173275	-0.202206	-0.340622	-0.168826	-0.155671	-0.224688	0.205776	-0.19901	-0.263835	-0.129374	-0.455315	-0.45457	-0.33324	0.144829	0.060142	-0.0081	-0.173471	0.089892	0.227951	0.178555	-0.08873	-0.612662	-0.502312	0.051496	-0.264369	0.082861	-0.38839	0.240979	-0.024011	-0.20527	-0.157647	0.247057	0.142457	0.308174	0.324573	0.515934	0.185135	0.376137	0.472207	0.313914	0.255082	-0.05157	0.170821
"IMAGE:196551"	0.187652	-0.128153	0.173679	0.510273	0.011664	-0.048065	0.638351	-0.037628	-0.704056	0.194745	0.102767	-0.438797	-0.037035	-0.335634	-0.546617	0.271472	-0.0662	0.283326	0.055955	0.403057	-0.71825	0.243207	-0.13598	-0.344821	-0.263058	0.047155	-0.095092	-0.114933	0.612836	0.33494	0.075782	0.216729	-0.463369	-0.133898	0.215033	-0.092801	0.323432	-0.081373	0.411866	-0.29525	0.304055	-0.129421	0.01126	-0.399546	-0.029534	0.050234	0.0519	-0.291675
"IMAGE:1456024"	-0.435448	-0.317676	-0.187625	-0.497834	-0.048234	-0.331027	-0.04565	-0.396572	-0.157354	0.069964	-0.007856	-0.277443	0.169097	-0.141113	0.160079	0.014937	0.100623	-0.214921	0.172932	-0.272693	0.118627	0.057922	0.263081	0.062824	0.116025	0.237816	-0.012666	-0.04373	-0.024269	0.194817	0.108106	0.235858	-0.204662	0.133452	0.347489	0.110198	0.066448	0.289932	0.220459	-1.818382	0.149186	0.345894	0.519712	0.201188	0.418013	0.3046	0.025549	0.421312
"IMAGE:1644704"	0.031964	0.251992	0.098403	0.180402	0.104121	-0.174513	0.091782	-0.162417	-0.217861	0.110406	0.044732	0.04027	0.382157	-0.291417	-0.109786	0.012638	-0.157117	0.175361	0.346657	-0.067531	-1.689456	-0.318816	0.396392	0.218844	0.082153	-0.119192	0.453359	0.238634	0.193532	0.030224	0.320897	-0.132723	0.331714	-0.150441	-0.033662	-0.05313	0.062258	-0.218633	0.259165	-0.028966	0.291124	-0.25932	-0.592408	0.276193	-0.384089	-0.22105	0.085996	0.027619
"IMAGE:809567"	0.268969	0.132721	-0.089806	-0.080454	-0.223041	-0.208877	-0.256664	-0.151803	-0.227894	-0.21444	-0.04724	-0.337772	-0.308604	-0.529487	-0.519466	-0.453207	-0.432003	-0.346553	-0.511676	-0.51537	-0.340779	-0.174161	-0.293151	0.192025	0.074038	0.015407	-0.091877	0.159839	0.300622	0.161186	0.134966	0.371242	0.256319	0.001021	0.240221	0.192939	0.224419	0.190931	0.158322	0.283904	0.37715	0.223055	0.303755	0.224947	0.469357	0.156121	0.46581	0.209764
"IMAGE:2157281"	0.011818	0.007427	0.080647	-0.24366	-0.483918	-0.369354	-0.487022	-0.205448	-0.29939	-0.064256	-0.019916	0.018195	0.191455	-0.175592	0.065196	-0.11734	0.206977	0.246613	0.392714	0.121429	-1.227453	-0.193979	0.238147	-0.048025	-0.015827	-0.198332	0.282168	0.244502	-0.299533	0.045932	0.236156	0.257406	0.204138	-0.040587	-0.240956	0.06053	0.25874	0.113813	0.210397	-0.052609	-0.072943	0.210304	0.485206	0.041122	-0.029915	0.140714	0.317283	0.21062
"IMAGE:486221"	-0.309515	-0.421832	-0.256402	-0.047953	-0.444702	-0.300435	-0.509355	-0.328442	-0.158559	-0.238027	-0.179943	-0.218358	-0.173246	-0.090102	-0.006135	0.10613	-0.123598	0.012758	0.07082	-0.048019	-0.389434	-0.050839	-0.243893	-0.106585	0.039447	0.232876	0.014554	0.252247	-0.016975	0.259583	0.132319	0.278616	0.157758	0.223517	0.170741	0.269402	0.007827	0.175314	0.071647	0.081288	0.280648	0.220471	0.183132	0.163338	0.225785	0.2635	0.155109	0.223066
"IMAGE:1846197"	0.220101	0.064098	0.18756	0.13725	0.149119	-0.150072	-0.131668	-0.342392	0.507788	0.062561	0.070643	0.00385	-0.240866	0.147949	-0.071519	-0.290711	-0.891613	0.121521	-0.189001	-0.236432	0.702928	0.234466	0.080187	-0.171298	0.44781	-0.758293	0.394549	0.259636	0.078601	-0.151169	0.18071	-0.337156	0.11267	-0.452369	-0.042439	0.252728	0.194509	-0.026792	0.072794	0.15143	-0.055182	0.317319	-0.307052	0.331152	0.032066	-0.617264	-0.005935	0.258941
"IMAGE:1555740"	0.22929	-0.153479	-0.361889	-0.108241	-0.247258	-0.178364	-0.255326	-0.062283	-0.170889	-0.270705	-0.073367	-0.223954	-0.098573	-0.292925	-0.12548	-0.41279	-0.164534	-0.056827	-0.235495	-0.527371	-0.113563	-0.180783	-0.031426	-0.017808	-0.237838	0.287565	0.151191	0.452511	-0.158418	0.348591	-0.115491	0.101486	0.019652	0.484367	0.123906	0.34521	0.137491	-0.100159	0.189658	0.184108	0.234898	0.20838	-0.029335	-0.027315	0.16796	0.199535	0.284342	0.434516
"IMAGE:277073"	-0.066638	-0.24724	-0.284335	-0.001654	-0.595295	-0.331554	-0.291933	-0.487049	0.045529	0.074075	-0.329436	-0.470366	-0.32362	-0.088228	-0.830138	-0.353771	-0.532272	-0.47489	-0.1974	-0.402063	-0.562931	-0.158001	-0.236078	0.140845	0.189014	0.106648	0.050606	-0.107917	-0.030505	0.229337	-0.044289	0.234415	0.180053	0.462622	0.515241	0.436355	0.132403	0.363783	0.472769	0.411984	0.586639	0.473172	0.125983	0.239274	0.429997	0.255228	0.073843	0.160569
"IMAGE:2062586"	-0.153243	0.392904	0.732972	-0.571038	0.72258	-0.29061	0.354884	-0.815127	0.109659	-1.303015	0.835623	-0.53269	0.420744	-0.493128	0.165034	-0.537844	0.305369	-0.646228	0.548234	-0.080696	0.035695	-0.68312	-0.196064	-0.677822	0.006713	-0.644015	0.032744	0.583124	0.478617	-0.099928	0.237452	-0.445653	0.103521	0.378738	0.615629	-0.329704	0.075241	0.066798	0.067792	0.125129	0.766561	-0.28265	0.211923	-0.082084	0.302503	-0.556297	0.356947	0.225063
"IMAGE:205581"	0.428868	-0.087593	-0.089692	0.251555	-0.06782	0.264275	-0.400235	0.003585	0.019066	0.28142	-0.352632	-0.297821	0.064682	0.188168	0.154184	0.477119	0.428246	0.325939	0.046924	0.086136	0.202114	0.151902	-0.087227	0.155769	-0.47717	-0.186461	-0.370244	0.109773	0.041461	0.019759	-0.03899	0.301328	-0.129301	0.074685	-0.390222	0.235559	-0.371993	0.024655	-0.305097	-0.02799	-0.265164	0.242048	-0.288032	-0.337486	0.05881	-0.336233	0.222942	0.052285
"IMAGE:1601869"	-0.020934	0.189486	-0.047842	0.388604	-0.189999	-0.296066	-0.058004	-0.036042	0.123236	0.423487	-0.279567	-0.501131	0.233328	-0.175959	-0.079172	-0.132099	-0.052071	-0.23575	0.687947	-0.165749	-0.032928	-0.683843	0.125214	0.088041	0.45849	-0.034398	0.237779	0.326262	0.027888	-0.092134	0.29644	-0.25175	-0.221409	0.06446	0.073001	-1.0587	-0.257906	0.267059	-0.055409	0.582356	-0.409292	0.472494	-0.198611	0.176638	-0.184861	-0.011567	-0.216009	0.554152
"IMAGE:589153"	0.381446	0.253131	0.155154	-0.187896	-0.169835	-0.394306	-0.11315	-0.358523	-0.320783	-0.212902	-0.134962	0.426219	0.280929	0.046206	0.317158	0.302693	0.450683	0.298261	0.67791	0.231696	0.254701	-0.022708	-0.055194	-0.179093	-0.200608	-0.145921	-0.479058	-0.534084	0.154072	-0.534579	0.165258	-0.118381	0.048481	-0.244972	-0.171001	-0.481931	0.1833	0.22246	0.116292	0.145781	-0.315546	0.050786	-0.085703	0.226537	-0.042583	0.122903	0.288752	-0.009917
"IMAGE:1911474"	0.028195	0.170362	-0.258137	0.018224	0.305451	0.121449	0.161307	-0.105988	-0.089415	0.729789	0.178416	-0.192505	0.681198	-0.285411	-0.31424	-0.323455	-0.650163	-0.082552	0.021833	-0.158055	0.065231	0.253857	0.36141	0.078051	-0.177659	-0.019371	0.354378	-0.119682	-0.191802	-0.193359	-0.191208	-0.445854	0.42392	0.423662	-0.104172	-0.272169	0.252575	0.100216	-0.006203	0.251532	-0.338224	0.133276	-0.265234	-0.096289	-0.73848	0.256417	0.093912	0.445089
"IMAGE:502177"	-0.774506	0.022539	0.221693	-0.483565	0.301501	0.301879	0.54465	0.134047	0.109746	0.530266	0.734122	0.64143	0.424779	0.473077	0.38257	0.256029	0.374596	0.077758	0.554728	0.08589	0.62796	-0.043573	0.174324	0.070506	0.224838	-0.303843	-0.545471	-0.74026	0.449151	-0.237287	0.032973	-0.13312	-0.09427	-0.891481	-0.14168	-0.683401	-0.087331	-0.074341	0.034614	-0.146215	-0.421374	-0.231306	0.147945	-0.082239	-0.138749	-0.236614	0.090361	-0.093144
"IMAGE:1843430"	-0.502903	0.079239	0.391505	0.194851	0.385008	0.299156	0.243886	-0.203782	0.505952	0.260579	0.213607	-0.557673	-0.390665	-0.018433	-0.064918	0.736983	-0.080546	-0.636943	-0.502717	-0.062143	-0.194096	-0.101112	0.13138	0.453138	-0.444981	0.353172	-0.091257	-0.092026	0.263703	0.396035	0.217727	0.332819	0.246591	0.277061	-0.471061	-0.804769	-0.393788	0.466088	0.043876	0.425436	-0.455799	0.301174	-0.472542	0.540862	0.092814	0.323218	-0.713837	-0.582534
"IMAGE:757489"	0.120595	0.023333	-0.106497	-0.112374	-0.146401	-0.110348	-0.1707	-0.035686	-0.203211	-0.068916	-0.191168	-0.495474	-0.809115	-0.642559	-0.623542	-0.527916	-0.321557	-0.286739	-0.348616	-0.046653	-0.507774	0.147342	-0.220445	0.072361	-0.078847	0.162403	-0.131481	0.117089	0.065684	0.191852	-0.206429	0.157821	0.25805	0.285371	0.407701	0.307703	0.185767	0.328439	0.193569	0.356238	0.358351	0.285984	0.304251	0.00993	0.171132	0.321	0.408551	0.562819
"IMAGE:1909826"	0.271015	-0.153409	-0.117924	0.371176	0.246864	0.114128	0.026528	0.625538	0.109375	0.444473	0.087371	0.197314	-0.333498	0.007632	0.043404	-0.158431	-0.029034	0.210756	0.157192	-0.093488	-0.074973	0.366552	-0.232616	-0.232552	0.441671	-0.892973	0.347937	0.125565	-0.183042	-0.112961	0.292426	-1.133802	0.10648	-0.204152	-0.567663	0.13077	0.113763	-0.05209	-0.114354	0.177329	0.903053	-0.080685	-0.006134	-0.188681	-0.814147	-0.422113	0.086065	0.213655
"IMAGE:269752"	-0.305381	-0.106985	-0.017479	0.208262	-0.182398	-0.209551	-0.106565	0.052045	-0.241557	0.083436	0.135842	-0.503709	-0.117664	-0.118116	-0.142612	0.098394	0.1188	-0.03866	0.208892	0.083855	0.749603	0.20547	-0.185831	0.103349	-0.232009	0.113642	-0.250094	0.215281	-0.248961	0.027414	-0.315726	-0.208938	-0.199108	0.299261	0.042065	0.184939	-0.133963	0.058568	0.016717	0.310767	0.194126	-0.296058	0.349103	-0.340201	0.163123	-0.115118	0.286019	0.336682
"IMAGE:783465"	0.023429	0.026745	-0.057887	-0.009355	0.119068	0.199099	0.116898	0.313076	0.432919	0.124238	-0.170484	-0.285863	0.060591	0.49373	0.018957	-0.047519	-0.037429	0.240499	-0.305253	0.292712	-0.110411	-0.16132	0.277143	0.012083	-0.321108	0.030126	-0.209322	-0.250648	-0.461875	-0.581279	0.302159	0.080167	-1.025707	0.531602	-0.054017	0.430068	-0.084039	0.316423	-0.168297	0.406116	-0.099812	0.063604	-0.358506	0.059484	0.385171	0.048947	-0.238167	-0.188437
"YNL175C"	0.193637	-0.694239	-0.041248	0.51104	0.203731	-0.368331	0.026336	0.124342	-0.013884	0.501257	-0.183158	0.347994	0.312828	-0.065001	0.843186	-0.251137	0.251102	-0.290835	0.195182	-0.600017	0.5924	-0.294907	0.679622	0.120156	-0.133879	-0.2435	-0.760904	-0.135521	-0.208339	-0.16165	0.345342	0.125035	0.134219	0.3277	0.202488	-0.292801	-0.454712	0.009983	0.640204	-0.056909	-0.302513	-0.657548	-0.084966	-0.072577	0.224512	-0.292508	0.147845	-0.002851
"IMAGE:796646"	-0.090947	-0.105738	-0.108255	0.139192	0.129048	0.463544	0.210127	0.339234	0.228466	0.520648	0.40716	0.690603	0.393606	0.702412	0.366653	0.564922	0.223975	0.313762	-0.098954	0.279685	-0.107679	0.03391	-0.091947	0.083068	0.004977	0.219603	-0.173605	0.336201	-0.185468	-0.183011	-0.297329	0.047315	-0.283628	-0.120355	-0.412288	-0.196452	-0.340909	-0.304352	-0.257414	-0.307927	-0.31269	-0.191726	-0.481429	-0.212118	-0.489182	-0.371999	-0.333831	-0.149031
"IMAGE:207288"	0.346807	0.138408	0.332106	0.299954	-0.371908	-0.8262	-0.923788	-0.377471	-0.558637	-0.319375	0.055909	-0.047952	-0.374869	-0.420672	-0.712948	-0.254372	-0.522943	-0.404841	-0.50621	-0.38531	-0.363331	0.11206	-0.097848	0.108202	0.07474	-0.179805	-0.183187	-0.080315	-0.047654	-0.185438	0.016903	0.102838	0.053214	0.044797	0.204823	0.452556	0.384372	0.501372	0.225266	0.415156	0.434766	0.456478	0.290261	0.395742	0.573457	0.390963	0.409602	0.694816
"IMAGE:1637840"	0.299178	0.316891	-0.411735	-0.087293	-0.499431	0.147769	-0.194393	0.229615	-0.042806	0.094081	-0.152361	0.128333	0.1489	-0.013719	0.114785	0.106097	-0.087093	0.178109	-0.449047	0.039693	0.127879	0.694078	-0.259339	0.756166	-0.059789	1.072867	0.604204	0.692862	-0.376212	0.046775	-0.299188	-0.138138	-0.445247	-0.680913	-0.304429	0.143216	-0.214118	0.05651	-0.120361	0.148244	-0.07844	0.082001	0.103679	-0.354326	0.139435	-0.286183	-0.080067	-1.132236
"IMAGE:46236"	0.172501	-0.134363	0.137214	-0.014717	-0.185645	-0.162022	0.074913	-0.258428	-0.21067	-0.236509	0.1778	-0.125851	0.244491	-0.11928	0.177628	-0.162532	0.239818	-0.289649	0.442438	-0.237069	0.183195	-0.32695	0.135563	-0.341563	0.12078	-0.253874	0.371565	0.005386	0.186033	-0.14172	0.008257	-0.104066	0.024391	-0.191398	-0.592177	-0.023103	-0.120899	-0.008962	0.036795	-0.012455	0.411032	-0.233783	0.192173	0.04946	0.273467	0.039961	0.445759	0.510751
"IMAGE:1737217"	0.038192	-0.163621	0.372126	0.184964	0.363787	-0.058027	0.421638	-0.406821	0.71619	0.335328	-0.133587	-0.254325	-0.074392	0.001589	-0.124179	0.017792	0.036918	-0.23213	-0.622536	0.191729	0.120756	-0.143596	0.232261	0.080495	0.428426	0.286912	0.619117	0.457218	-0.156024	-0.282949	0.011901	-0.290938	0.083663	-0.484977	-0.239056	-0.277265	0.046066	-0.213299	0.244797	0.159968	-0.238751	0.160239	-0.226811	0.152035	-0.346462	0.023132	-0.259083	-0.128032
"IMAGE:840766"	-0.163759	-0.11917	-0.148742	0.139025	-0.507262	-0.258785	-0.529406	-0.274428	-0.553546	-0.061786	-0.26992	-0.302374	-0.331458	-0.161327	-0.225917	-0.028567	-0.117387	0.021201	-0.029423	-0.031263	-0.169911	-0.015808	-0.04166	0.145133	-0.001251	-0.07258	-0.367927	-0.017897	0.149215	0.288788	0.018444	0.217968	0.214743	0.316328	0.264261	0.28442	0.012359	0.229182	-0.054477	0.189729	-0.030057	0.197667	0.274754	0.236215	0.453059	0.270149	0.276219	0.226433
"IMAGE:713019"	0.126737	0.110631	0.311062	0.068056	-0.072324	0.119529	0.343248	0.030119	-0.285265	-0.332708	-0.256779	0.262797	0.278636	0.31599	0.271124	0.152347	-0.181846	0.188253	0.269531	0.376469	0.054895	-0.231381	0.046086	0.025928	0.068365	-0.290304	-0.914891	-0.140538	0.55806	-0.110962	0.104217	-0.079994	-0.071819	0.271616	-0.374642	-0.023421	0.006807	0.200131	-0.040669	-0.00271	-0.1174	-0.328749	-0.133445	0.229276	-0.056412	-0.300341	-0.162577	-0.163008
"IMAGE:1985836"	0.071348	-0.008391	-0.944332	-0.052276	-0.197927	0.380612	0.288603	-0.315986	-0.408712	-0.447193	0.039722	0.068015	0.076722	-0.069614	0.140856	-0.389148	0.303733	-0.237257	0.232824	0.219326	0.529065	-0.059524	-0.383299	0.354774	0.476442	0.184875	0.052156	0.04452	-0.111987	0.078444	-0.223079	0.000989	-0.201261	-0.660257	0.082582	0.213975	-0.037878	-0.375835	0.077123	0.146638	0.11384	0.038242	0.117159	-0.261224	0.460783	-0.287099	0.421414	0.381148
"IMAGE:2028665"	-0.524983	0.141822	-0.64227	0.328603	0.067976	-0.477695	-0.15984	0.409807	-0.248752	-0.126966	0.005667	0.74841	0.384189	0.381742	0.303846	-0.146103	-0.141494	0.199408	0.157982	0.176158	-0.095975	0.27523	0.503687	-0.234278	0.082055	0.391812	0.227216	-0.159166	0.602487	-0.353514	-0.530654	0.056009	0.029967	-0.571495	0.121912	0.065537	-0.179331	0.087783	-0.073341	0.151072	-0.21525	-0.073981	0.076147	-0.233695	-0.284415	0.044166	0.122217	-0.315649
"YOR126C"	0.278736	0.127281	0.029789	0.299217	-0.18885	0.503049	-0.077529	-0.60095	-0.293726	0.192274	-0.262744	-0.16798	0.77022	0.211907	0.474194	-0.301496	0.717928	0.367638	1.025647	-0.101522	0.146454	-0.021925	-0.903872	0.05132	-0.127102	0.327141	-0.0691	-0.374951	0.166024	0.011344	0.259836	-0.370716	-0.399201	0.13261	0.298758	0.396012	-0.228015	-0.301259	-0.004526	-0.751602	0.293713	-0.381245	-0.656988	-1.45828	0.30395	-0.683049	0.2602	-0.099396
"YML030W"	-1.219358	-0.024648	-0.420188	0.214008	-0.321552	-0.615272	0.137322	0.283803	-0.031053	-0.032505	0.161993	-0.35314	0.189256	0.03205	0.292345	0.042778	0.274787	0.283564	0.109439	0.131018	1.319876	0.218881	-0.005578	0.119845	0.259722	0.134106	-0.166006	0.731713	-0.399358	-0.090342	-0.385307	0.188518	0.047713	-0.106838	-0.553343	0.739673	-0.025754	-0.701567	0.211707	-0.037975	0.097359	-0.766662	0.221749	-0.122913	0.457354	0.08991	0.567913	-0.339882
"IMAGE:1700272"	-0.090451	-0.061711	-0.475468	0.271521	-0.144323	0.716341	0.50033	0.933377	-0.271228	0.147487	-0.140645	-0.269799	0.348546	0.008118	0.468938	0.222747	-0.597503	0.048474	-0.026909	0.273246	0.140483	-0.074027	-0.026909	-0.0234	0.170015	0.092697	-0.449803	0.159989	-0.348164	0.366254	-0.6789	-0.367391	0.215804	-0.049089	-0.270773	0.060868	0.05124	-0.690279	0.317923	-0.245958	-0.07697	-0.685004	-0.086764	-0.681726	0.860323	0.103906	0.463863	0.238067
"IMAGE:450278"	-0.208012	0.114752	0.58659	0.462477	0.187355	-0.274609	0.546226	-0.039047	0.014258	-0.518812	0.069902	0.138511	0.06977	-0.121559	0.129841	0.210551	-0.482206	-0.048889	-0.597254	-0.312404	-0.289939	-0.09939	0.030123	-0.325099	-0.004263	-0.0611	0.07748	0.325945	0.212198	0.310663	0.013254	-0.040209	0.231206	-0.310935	0.462683	-0.103599	0.398367	0.070051	0.181115	-0.66693	-0.184071	0.317667	0.628275	-0.137036	-0.386737	-0.100122	-0.205163	-0.102149
"IMAGE:1861426"	-1.306851	0.008679	0.750849	-1.998682	-0.221328	-0.027286	0.311781	0.286977	-0.032668	0.302402	-0.193139	0.294864	0.433918	-0.290482	0.417698	0.046598	0.144373	0.340425	-0.26634	-0.253424	0.278573	0.12653	-0.629256	0.359955	0.229984	0.444009	-0.200577	0.484514	-0.067319	0.099109	0.359801	0.065569	-0.356494	-0.227469	0.126597	-0.015357	0.167441	-0.184784	-0.25567	0.055113	0.336139	0.446872	-0.192533	0.00079	0.527295	-0.051827	0.100464	0.004931
"IMAGE:48159"	-0.30732	0.183053	-0.280763	-0.680367	0.502192	0.112246	0.043083	-0.410178	0.143861	0.367504	0.23533	-0.012556	0.091272	0.132215	-0.397144	0.471491	-0.198328	-0.133288	0.088564	-0.142824	-0.144173	-0.3287	0.198786	0.035673	0.015052	0.393073	-0.163504	-0.137509	0.297119	0.338608	-0.493355	-0.05264	-0.008597	-0.327632	0.337434	0.781878	0.359079	0.240808	-0.156631	0.136533	0.312982	-0.206026	-1.183295	0.265139	-0.11008	-0.050735	-0.520295	0.160557
