CloneID	Ref	GeneSymbol	CommunityID
IMAGE:1175398	110502	YARS	70
IMAGE:117859	105517		70
IMAGE:117885	120290		408
IMAGE:118494	113713		70
IMAGE:1190676	118469		96
IMAGE:1190824	108037		834
IMAGE:1190835	115301		33
IMAGE:1190937	119956		828
IMAGE:1190944	#N/A	NA	124
IMAGE:1191046	#N/A	NA	815
IMAGE:1191342	115452		70
IMAGE:1191407	107615		115
IMAGE:1202656	112271		158
IMAGE:1202684	102412		116
IMAGE:1202731	116851		44
IMAGE:1202750	101832		13
IMAGE:1203125	99228		61
IMAGE:1203477	114462		474
IMAGE:1203641	111848		57
IMAGE:1203893	112409		70
IMAGE:1203949	109943		252
IMAGE:1204078	102213		57
IMAGE:1204749	114038		115
IMAGE:1205341	116100		1
IMAGE:120612	221108		4
IMAGE:120684	306852		70
IMAGE:1207382	107792		70
IMAGE:1208795	120196		77
IMAGE:120929	#N/A	NA	350
IMAGE:121072	104422		70
IMAGE:121436	115572		70
IMAGE:121457	310802		56
IMAGE:121489	223013	SSR1	38
IMAGE:1218102	109764	TRPS1	342
IMAGE:121857	224002	DEEPEST	124
IMAGE:121981	104323	SLC2A3	70
IMAGE:1221944	105250		695
IMAGE:122428	100044	JUNB	70
IMAGE:122672	308771	KIAA0365	267
IMAGE:123400	99896	KHSRP	38
IMAGE:123474	99219	SCD	70
IMAGE:123478	226748		548
IMAGE:1237599	112513		353
IMAGE:124138	111618	NXF1	124
IMAGE:124474	103589	PRKWNK1	1
IMAGE:124661	310178		70
IMAGE:124759	307620		562
IMAGE:1252757	102638	CHORDC1	264
IMAGE:1253352	117181		272
IMAGE:1253749	109342		70
IMAGE:1256712	222707	IRAK2	70
IMAGE:1256714	224857	C21ORF4	70
IMAGE:125709	99756		1
IMAGE:125808	117344	HFE	70
IMAGE:126415	308236		70
IMAGE:126458	307281		70
IMAGE:126550	308571		479
IMAGE:126650	106982	L2DTL	124
IMAGE:126795	111972	CTH	70
IMAGE:127032	315623	BIRC3	70
IMAGE:127147	119848		70
IMAGE:127185	118693		1
IMAGE:1273570	107199		726
IMAGE:1273911	114466		70
IMAGE:127580	106967	SLC11A2	70
IMAGE:127860	104784	TRN2	38
